languageTag,key,message,annotation
default,PhoneNumberAddHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Add Phone Number</h3><label class=""Ava_label"">Phone Type:<span style=""color:red"">*</span></label><select name=""Ava_PhoneType"" id=""Ava_PhoneType"" class=""Ava_PhoneType Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">Enter your new Number<span style=""color:red"">*</span>:</label><input class=""Ava_PhoneNumber Ava_FStyle"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><div class=""Ava_singlechbx""><input type=""checkbox"" id=""Ava_ch"" class=""Ava_PhoneCheck Ava_single_ch""><label class=""Ava_label"" for=""Ava_PhoneCheck"">Is this your primary number?</label></div><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" value=""Submit"" class=""Ava_btn"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_phone"")' value=""Cancel"">Cancel</button></div></form></div></body></html>",
default,PhoneNumberAddV1,"<html><body class=""htmlform""><div class=""container""><form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Add Phone Number</h3><label class=""Ava_label"">Phone Type:<span style=""color:red"">*</span></label><select name=""Ava_PhoneType"" id=""Ava_PhoneType"" class=""Ava_PhoneType Ava_dropdown"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">Enter your new Number<span style=""color:red"">*</span>:</label><input class=""Ava_PhoneNumber FStyle"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><div class=""Ava_singlechbx""><input type=""checkbox"" id=""Ava_ch"" class=""Ava_PhoneCheck Ava_single_ch"" required><label class=""Ava_label"" for=""Ava_PhoneCheck"">Is this your primary number?</label></div><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" value=""Submit"" class=""btn Ava_btn"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_phone"")' value=""Cancel"">Cancel</button></div></form></div></body></html>",
default,PhoneNumberEditForm,"<form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><div style=""text-align:center""><h4 class=""Ava_h4"">Update Phone Number</h4></div><label for=""Ava_PhoneType"">Phone Type:</label><br><input class=""Ava_single_select Ava_PhoneType"" id=""Ava_PhoneType"" placeholder=""10 digit Number here"" disabled=""disabled"" value=""{0}""><br><label for=""Ava_PhoneNumber"">Enter your new Number:<span style=""color:red"">*</span></label><br><input value={1} class=""Ava_single_select Ava_PhoneNumber"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><br><label for=""Ava_PhoneCheck"">Is this your primary number?</label><br><input class=""Ava_PhoneCheck"" id=""Ava_PhoneCheck"" type=""checkbox""><div class=""Ava_column""><input class=""Ava_single_btn"" type=""submit"" value=""Submit""></div><div class=""Ava_column""><input class=""Ava_single_btn"" type=""button"" onclick='cancelTransaction(""get_phone"")' value=""Cancel""></div></form>",
default,PhoneNumberEditFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Add Phone Number</h3><label class=""Ava_label"">Phone Type:<span style=""color:red"">*</span></label><input type=""text"" class=""Ava_PhoneType Ava_FStyle"" id=""Ava_PhoneType"" placeholder=""10 digit Number here"" disabled=""disabled"" value=""{0}"" required><label class=""Ava_label"">Enter your new Number<span style=""color:red"">*</span>:</label><input value=""{1}"" class=""Ava_PhoneNumber Ava_FStyle"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><div class=""Ava_singlechbx""><input type=""checkbox"" id=""Ava_ch"" class=""Ava_PhoneCheck Ava_single_ch"" required><label class=""Ava_label"" for=""Ava_PhoneCheck"">Is this your primary number?</label></div><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" value=""Submit"" class=""Ava_btn"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class="" Ava_single_btn"" onclick='cancelTransaction(""get_phone"")' value=""Cancel"">Cancel</button></div></form></div></body></html>",
default,PhoneNumberEditFormV1,"<html><body class=""htmlform""><div class=""container""><form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Add Phone Number</h3><label class=""Ava_label"">Phone Type:<span style=""color:red"">*</span></label><input type=""text"" class=""Ava_PhoneType FStyle"" id=""Ava_PhoneType"" placeholder=""10 digit Number here"" disabled=""disabled"" value=""{0}"" required><label class=""Ava_label"">Enter your new Number<span style=""color:red"">*</span>:</label><input value=""{1}"" class=""Ava_PhoneNumber FStyle"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><div class=""Ava_singlechbx""><input type=""checkbox"" id=""Ava_ch"" class=""Ava_PhoneCheck Ava_single_ch"" required><label class=""Ava_label"" for=""Ava_PhoneCheck"">Is this your primary number?</label></div><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" value=""Submit"" class=""btn Ava_btn"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_phone"")' value=""Cancel"">Cancel</button></div></form></div></body></html>",
default,systemComponent_AgentConversation_conclusionMessage,Chat session ended. Thanks for chatting with us.,The message shown to the user when human agent ends the chat.
default,systemComponent_AgentConversation_errorMessage,Chat session error. The reason is: {0}.,The message shown to the user when Digital Assistant experiences errors with the agent chat system.
default,systemComponent_AgentConversation_exitKeywords,"bye, take care, see you, goodbye",Comma-delimited list of keywords the user can use to end the chat with the agent.
default,systemComponent_AgentConversation_expiryMessage,Chat session expired. Thanks for chatting with us.,The message shown to the user when the chat session expires.
default,systemComponent_AgentConversation_userLeftMessage,User left the chat.,
default,systemComponent_AgentConversation_waitExpiryMessage,The request for live chat expired while waiting for an agent.,The message shown to the user when the chat expires while waiting for an agent.
default,systemComponent_AgentInitiation_agentActionsMessage,"\n Here are the available actions that you can send to transfer the conversation back to the bot. Prepend the action with a forward slash (for example, /actionName).\n",Message preceding the list of agent actions.
default,systemComponent_AgentInitiation_errorMessage,Error transferring to agent. The reason is: {0}.,The message shown to user when system error occurs during chat initiation with agent.
default,systemComponent_AgentInitiation_rejectedMessage,Agent rejected.,The message shown to the user when human agent rejects the chat request.
default,systemComponent_AgentInitiation_resumedMessage,Resuming chat with agent,The message shown to the user when the chat with human agent is resumed.
default,systemComponent_AgentInitiation_waitingMessage,"Agent chat session established, Waiting for agent to join.",The message that's shown to users when they are waiting for a human agent.
default,systemComponent_AgentTransfer_acceptedMessage,The chat has been transferred to another agent.,The message that's shown to the users whenever a human agent accepts the chat request.
default,systemComponent_AgentTransfer_errorMessage,We were unable to transfer you to another agent because there was a system error.,The message shown to the user when Digital Assistant experiences trouble with the agent chat system.
default,systemComponent_AgentTransfer_rejectedMessage,Agent rejected.,"The message that's shown to the users whenever a human agent rejects the chat request, 'maxEngagementsInQueue' is exceeded, the 'allowTransferIf' condition is not met, or the estimated wait time exceeds 'maxWaitSeconds'."
default,systemComponent_AgentTransfer_waitingMessage,"Agent chat session established, Waiting for agent to join.",The message that's shown to users when they're transferred to a human agent.
default,systemComponent_AgentTransferCondition_errorMessage,We were unable to check the status of other agents because there was a system error.,The message shown to the user when Digital Assistant experiences trouble checking agent status with the agent chat system.
default,systemComponent_CommonResponse_formTitle,View details,Default title shown in form dialog when using table-form message type on Slack.
default,systemComponent_CommonResponse_showFormButtonLabel,View,Button label to open form when using a table-form layout.
default,systemComponent_DataQueryResponse_feedbackCategories,"Inaccurate Interpretation,Inaccurate Result,Other",The categories shown in the feedback dialog for SQL Dialog responses.
default,systemComponent_Feedback_feedbackPrompt,How would you rate this conversation?,It is the prompt shown to the user to select rating for the conversation.
default,systemComponent_Feedback_invalidValuePrompt,Value submitted for feedback rating is invalid. Please try again,It is the prompt shown to the user to select rating for the conversation after user inputs an invalid value for rating.
default,systemComponent_Feedback_ratingButtonLabels,"1,2,3,4,5",Comma separated list of labels displayed on rating buttons in feedback component.
default,systemComponent_Feedback_skipLabel,Skip,The label of the skip button to skip the feedback.
default,systemComponent_Feedback_textFeedbackPrompt,Any feedback?,Prompt shown to user asking them to provide text feedback when they give a rating below threshold.
default,systemComponent_Feedback_thankYouPrompt,Thank you,It is the prompt shown to the user when transition set by user is not defined in dialog flow.
default,systemComponent_IncidentCreation_successMessage,Incident created successfully. Incident number : {0} .,The message that's shown to users when an incident is created successfully
default,systemComponent_IntelligentAdvisor_answerNotValid,The answer is not in the correct format. Try again.,Message that's displayed for Intelligent Advisor interview inputs of type Masked when the user's answer doesn't conform to the specified input mask.
default,systemComponent_IntelligentAdvisor_defaultValue,Suggested value is {0}.,Text that's added to a question when the Intelligent Advisor interview input has a default value.
default,systemComponent_IntelligentAdvisor_doneHelp,"When you are done with the upload, say {0}.",Help message that's displayed for Intelligent Advisor interview inputs of type Upload.
default,systemComponent_IntelligentAdvisor_doneLabel,/done,The text that users have to type to indicate that they are done uploading a file.
default,systemComponent_IntelligentAdvisor_endLabel,Interview ended,The label that is shown in the chat at the end of the interview.
default,systemComponent_IntelligentAdvisor_exitLabel,/exit,The text that users have to type to indicate that they want to exit the interview.
default,systemComponent_IntelligentAdvisor_explanationAskLabel,Do you want to see the explanation?,The question that is asked when showExplanation is set to 'ask'.
default,systemComponent_IntelligentAdvisor_maskLabel,Answer format: {0},Text that's added to a question to display the expected format for Intelligent Advisor interview inputs of type Masked Text Box.
default,systemComponent_IntelligentAdvisor_noLabel,No,The label to use to represent Boolean FALSE values.
default,systemComponent_IntelligentAdvisor_numberMinMax,Enter a number between {0} and {1}.,Message that's displayed when the user enters a value outside of the specified range for an Intelligent Advisor interview input of type Slider.
default,systemComponent_IntelligentAdvisor_outOfOrderMessage,"You have already answered this question. When you want to step backwards to change a previous answer, say {0}.",Error message that's displayed when the user taps a button in a previous Intelligent Advisor interview message.
default,systemComponent_IntelligentAdvisor_resetLabel,/reset,The text that users have to type to indicate that they want to go back to the first question.
default,systemComponent_IntelligentAdvisor_resumeSessionPrompt,Do you want to restart the interview from where you previously left?,Question that is asked if the user starts an interview that they had previously left before the interview completed.
default,systemComponent_IntelligentAdvisor_suggestionText,Give your answer or press the button to use the suggested value.,The label that's displayed when the Intelligent Advisor interview input has a default value and the showSuggestion property is true.
default,systemComponent_IntelligentAdvisor_uncertainLabel,Uncertain,The label that appears for optional values and is what the user can type if they don't know the value.
default,systemComponent_IntelligentAdvisor_undoLabel,/back,The text that users have to type to indicate that they want to go back to the previous question.
default,systemComponent_IntelligentAdvisor_yesLabel,Yes,The label to use to represent Boolean TRUE values.
default,systemComponent_IntelligentAdvisor_yesNoMessage,Enter either {0} or {1},Message that's displayed when the user enters an invalid answer for Intelligent Advisor interview inputs of type Boolean Radio Button.
default,systemComponent_Intent_optionsPrompt,Do you want to,The prompt shown to the user when there are multiple top intents within the confidence win margin.
default,systemComponent_Intent_optionsQnaLabel,View Answers,The label of the action in the options (see optionsPrompt) that will take the user to the QnA component to display the matches.
default,systemComponent_KnowledgeDialogs_feedbackCategories,"Inaccurate,Inappropriate,Irrelevant,Other",The categories shown in the feedback dialog for knowledge-generated responses.
default,systemComponent_KnowledgeDialogs_generateLabel,Show answer,The label of the button to generate answer using KnowledgeDialogs.
default,systemComponent_KnowledgeDialogs_generateResponseInfo,"Related answer in ""{0}""",The explanatory label displayed next to KnowledgeDialogs button.
default,systemComponent_KnowledgeDialogs_llmGeneratedInfo,"AI generated from ""{0}""",A text field used to indicate that the content of the message was generated by an LLM.
default,systemComponent_KnowledgeDialogs_notAnswerable,"I've found a document that appears to have some relevance, but unfortunately, it doesn't fully address your original question.",Message to inform the user that a document with some relevance has been located
default,systemComponent_KnowledgeDialogs_pageNumberNotAvailable,n/a,The value in the reference table column in cases where the page number is unavailable.
default,systemComponent_KnowledgeDialogs_rewrittenPendingMessage,"Generating an answer for : ""{0}""",Message during KnowledgeDialogs response wait when context rewriter rewrites query.
default,systemComponent_KnowledgeDialogs_showSourcesLabel,Show sources,The label of the button to generate references for KnowledgeDialogs.
default,systemComponent_KnowledgeSearch_defaultAttachmentLabel,Download,The default label to use for the result card's URL action that is linked with an attachment of the search result if that attachment does not have a display name configured already.
default,systemComponent_KnowledgeSearch_noResultText,"Sorry, no result was found in the knowledge search.",The text to output when no search result is available.
default,systemComponent_KnowledgeSearch_resultLinkLabel,View Details,The label to use for the result card's URL action that's linked to the web version of the knowledge article.
default,systemComponent_KnowledgeSearch_searchLinkLabel,Open Page with All Answers,"For B2C, the label to use for the card message payload action that's linked to the web page with the full search result list. For B2B, the label to use for the card message payload action that's linked to the home search page."
default,systemComponent_KnowledgeSearch_searchPrelude,Here's what I found:,The text to output before the search result is displayed.
default,systemComponent_LLM_entityNotSpecifiedPrompt,The {0} is not specified in the response.,Retry prompt sent to the LLM when an entity is not matched in the LLM response.
default,systemComponent_LLM_feedbackCategories,"Inaccurate,Inappropriate,Irrelevant,Other",The categories shown in the feedback dialog for LLM-generated responses.
default,systemComponent_LLM_invalidJsonError,Response is not a valid JSON object: {0}.,Error message sent to the LLM when the LLM response is not valid JSON.
default,systemComponent_LLM_invalidJsonResponsePrompt,"The response doesn't comply with the JSON Schema, the following errors are found:\n###\n{0}\n###\nThe following is a revised response with a valid JSON Object that fixes the errors and complies with the JSON schema:\n",Retry prompt sent to the LLM when the response causes JSON validation errors.
default,systemComponent_LLM_invalidResponsePrompt,"The response is invalid, the following errors are found::\n###\n{0}\n###\n\nThe following is a revised response that fixes the errors:\n",Retry prompt sent to the LLM when the response causes validation errors.
default,systemComponent_LLM_jsonSchemaInstruction,You are a service that translates user requests into a JSON object according to the following JSON Schema:\n\n###\n{0}\n###\n\nThe following is the user request:\n''''''\n{1}\n''''''\n\nThe following is the user request translated into a JSON object with 2 spaces of indentation and no properties with the value undefined:\n,System prompt sent to the LLM when the LLM response should comply with the JSON schema provided.
default,systemComponent_LLM_llmGeneratedInfo,Response generated using artificial intelligence.,A text field used to indicate that the content of the message was generated by an LLM.
default,systemComponent_OAuth2AccountLink_cancelLabel,Cancel,The label for the cancel button that lets users leave the state without invoking the authentication dialog.
default,systemComponent_OAuth2AccountLink_consentNeverFinalConfirmationNoLabel,Cancel,"The label for the ""No"" button that appears after the prompt to confirm that the user wants to opt out of having their channel account permanently associated with a unified identity."
default,systemComponent_OAuth2AccountLink_consentNeverFinalConfirmationPrompt,Please confirm that this channel account should never be associated with your unified identity.,The message that asks users to confirm that they want to opt out of having their account associated with a unified identity.
default,systemComponent_OAuth2AccountLink_consentNeverFinalConfirmationYesLabel,Confirm,"The label for the ""Yes"" button that appears after the prompt to confirm that the user wants to opt out of having their account permanently associated with a unified identity."
default,systemComponent_OAuth2AccountLink_consentNeverFinalPrompt,"Any user identity data that is associated with this {0} channel account {1} will not be stored by Oracle Digital Assistant as part of a unified identity. As such, if you later sign in to this assistant through a different channel, you will not be recognized as the same user by Digital Assistant. If you change your mind, please contact your system administrator.",The prompt that asks users to confirm that they want to opt out of having their account associated with a unified identity.
default,systemComponent_OAuth2AccountLink_consentNeverLabel,Never link this account,"The label for the ""Never"" button that appears after the prompt that asks if the user wants to associate their channel account with a unified identity."
default,systemComponent_OAuth2AccountLink_consentNotifyPrompt,This {0} channel account {1} is now associated with your unified Digital Assistant user identity.,The message that informs users that their channel identity will be associated with the authenticated user identity.
default,systemComponent_OAuth2AccountLink_consentNotNowFinalPrompt,This {0} channel account {1} will not be associated with your unified Digital Assistant user identity at this time.,The message that confirms to users that they have temporarily declined to associate their channel account with a unified identity.
default,systemComponent_OAuth2AccountLink_consentNotNowLabel,Not at this time,"The label for the ""Not Now"" button that appears after the prompt that asks if the user wants to associate their channel account with a unified identity."
default,systemComponent_OAuth2AccountLink_consentPrompt,Would you like to link this channel account to a Digital Assistant unified user identity? This will allow you to have conversations with your digital assistant across multiple channels and be recognized as the same user.,The prompt that asks users to choose if they consent to associating their channel account with the authenticated user identity.
default,systemComponent_OAuth2AccountLink_consentYesLabel,Associate account,"The label for the ""Yes"" button that appears after the prompt that asks if the user wants to associate their channel account with a unified identity."
default,systemComponent_OAuth2AccountLink_linkLabel,Get an access token,The label for the button that invokes the authentication dialog.
default,systemComponent_OAuth2AccountLink_prompt,Please sign in,The message that tells users to sign in now.
default,systemComponent_OAuthAccountLink_cancelLabel,Cancel,The label for the cancel button that lets users leave the state without invoking the authentication dialog.
default,systemComponent_OAuthAccountLink_linkLabel,Log In,The label for the button that invokes the authentication dialog.
default,systemComponent_OAuthAccountLink_prompt,Please tap on the link to proceed,The message that tells users to sign in now.
default,systemComponent_Planner_cannotProcessRequest,"Sorry, I am unable to process your request.",It's the message shown to the user when the planner cannot process the user request.
default,systemComponent_QnA_answersLabel,Answers,The label for the action to view answers in a particular category.
default,systemComponent_QnA_categoriesLabel,Categories,The label for the action to display the categories that match the user utterance.
default,systemComponent_QnA_exitLabel,Exit Questions,The label for the exit questions action.
default,systemComponent_QnA_moreAnswersLabel,More Answers,The label for the action to paginate to next set of answers.
default,systemComponent_QnA_moreCategoriesLabel,More Categories,The label for the action to paginate to next set of categories.
default,systemComponent_QnA_subCategoriesLabel,Sub-Categories,The label for the action to display sub-categories within a given category.
default,systemComponent_QnA_viewAnswerLabel,View,The label for the action to view answer details.
default,systemComponent_ResolveActionParameters_headerText,Please provide the missing required information,Header text used when prompting for missing action parameters
default,systemComponent_ResolveActionParameters_submitLabel,Submit,The label of the form submission button
default,systemComponent_ResolveEntities_bagItemsDisambiguationPrompt,Which item do you want to set to ''{0}''?,The prompt used for disambiguation if an entity match applies to more than one composite bag item.
default,systemComponent_ResolveEntities_defaultDisambiguationPrompt,Please select one value for {0},Default message shown when the user entered ambiguous input causing multiple entity matches.
default,systemComponent_ResolveEntities_defaultPrompt,Please enter {0},Default message shown to prompt the user for input.
default,systemComponent_ResolveEntities_showMoreLabel,Show More,"The label used for the forward pagination button when the number of enumeration values, or disambiguation matches exceeds the 'Enumeration Range Size' property of the composite bag item."
default,systemComponent_ResolveEntities_showPreviousLabel,Show Previous,"The label used for the backward pagination button when the number of enumeration values, or disambiguation matches exceeds the 'Enumeration Range Size' property of the composite bag item."
default,systemComponent_SelectCalendarEvent_acceptedLabel,Accepted,The text used to indicate that the invite was accepted.
default,systemComponent_SelectCalendarEvent_allDayLabel,All day,The text used to indicate all-day events.
default,systemComponent_SelectCalendarEvent_declinedLabel,Declined,The text used to indicate that the invite was declined.
default,systemComponent_SelectCalendarEvent_pendingLabel,Pending,The text used to indicate that the invite status is still pending.
default,systemComponent_SelectCalendarEvent_prompt,You have the following meeting(s):,The text that appears before the list of events.
default,systemComponent_SelectCalendarEvent_recurringLabel,Recurring,The text used to indicate recurring events.
default,systemComponent_SelectCalendarEvent_tentativeLabel,Tentative,The text used to indicate that the invite was tentatively accepted.
default,systemComponent_SQLIntent_noResultHeaderText,No result,The header text displayed when SQL intent query returns no result.
default,systemComponent_SQLIntent_noResultMessage,No result found,The message displayed when SQL intent query returns no result.
default,systemComponent_SQLIntent_noResultMessageLabel,Message,The message label displayed when SQL intent query returns no result.
default,systemComponent_Webview_cancelLabel,Cancel,The label of the cancel button to leave this state without invoking the webview.
default,systemComponent_Webview_linkLabel,Tap to continue,The label of the button to invoke the webview.
default,systemComponent_Webview_prompt,Please tap on the link to proceed,The message for the user to tap on the link to invoke the webview.
default,systemConfiguration_autoNumberPrefixes,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",The prefixes used for auto-numbering postback action labels.
default,systemConfiguration_autoNumberPrefixSeparator,.,The separator used between the number prefix and the postback action label.
default,systemConfiguration_conversationHistoryActionInvalidPrompt,"Sorry, this choice is no longer available.",Message to display when a user clicks on a choice in the conversation history that can no longer be processed.
default,systemConfiguration_document_reference_authorLabel,Author,The label for the Author column header in the document reference table.
default,systemConfiguration_document_reference_dateLabel,Date,The label for the Date column header in the document reference table.
default,systemConfiguration_document_reference_titleLabel,Title,The label for the Title column header in the document reference table.
default,systemConfiguration_document_reference_unknownLabel,Unknown,The label for the unknown date label in the document reference table.
default,systemConfiguration_errorExpiredSessionPrompt,Your session has expired.  Please start again.,The message when the session has expired.
default,systemConfiguration_errorMaxStatesExceededPrompt,Your session appears to be in an infinite loop.,The message when the bot appears to be in an infinite loop.
default,systemConfiguration_errorUnexpectedErrorPrompt,Oops I'm encountering a spot of trouble. Please try again later...,The message when there is an unexpected error.
default,systemConfiguration_feedbackAsk,I'm sorry the answer wasn't helpful. Can you please provide feedback to help me improve?,Message asking for additional feedback when negative feedback has been provided.
default,systemConfiguration_feedbackConfirmationNegative,"Thank you for the feedback, I am sorry the answer was not helpful, I will try to improve!",Confirmation message shown to the user when negative feedback has been provided.
default,systemConfiguration_feedbackConfirmationPositive,Thank you for the feedback.,Message shown to the user when positive feedback has been provided.
default,systemConfiguration_feedbackDialogCancelLabel,Cancel,The label of the cancel button in the user feedback dialog.
default,systemConfiguration_feedbackDialogCommentsFieldPlaceholder,Additional feedback,The placeholder text shown in the comments field of the user feedback dialog.
default,systemConfiguration_feedbackDialogHeaderText,What was the issue with this response?,The header text of the user feedback dialog.
default,systemConfiguration_feedbackDialogOpenLabel,Give Feedback,The label of the button that opens the user feedback dialog.
default,systemConfiguration_feedbackDialogSubmitLabel,Submit Feedback,The label of the submit button in the user feedback dialog.
default,systemConfiguration_feedbackDialogTitle,Give your feedback,The title of the user feedback dialog.
default,systemConfiguration_feedbackPrompt,Is this answer helpful?,Prompt used to solicit user feedback for a message shown to the user.
